# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	80061
#@/user_id	24769514-98c0-4d1f-9fa1-759af48b6715
a 	呵	c=1 d=1 t=45232
tuo ji 	脱机	c=3 d=4.61331e-17 t=17463
tuo ji bei fen 	脱机备份	c=1 d=2.55946e-27 t=17463
tuo jin qu 	拖进去	c=1 d=1 t=34134
tuo shan 	妥善	c=1 d=1 t=17755
tuo shou 	托收	c=3 d=1 t=29652
tuo zhan 	拓展	c=20 d=1.02642 t=64596
tuo zhan bao 	拓展包	c=1 d=1 t=17926
tuo zhan xing 	拓展性	c=6 d=1 t=67706
wa 	娃	c=1 d=1 t=77303
wa 	挖	c=4 d=3.97017 t=18916
wa 	瓦	c=1 d=0.1 t=24972
wa cao 	挖槽	c=1 d=1 t=17872
wa kuang 	挖矿	c=1 d=1 t=25008
wa lin ka 	瓦林卡	c=1 d=1 t=22266
wa o 	哇哦	c=1 d=0.1 t=31374
wa o ye 	哇哦也	c=1 d=1 t=31375
wa shang 	挖上	c=1 d=1 t=29093
wa ta 	瓦塔	c=1 d=1 t=78115
wa wa 	娃娃	c=1 d=1 t=27909
wa wa wa 	哇哇哇	c=0 d=0.1 t=21905
wa wa wa wo 	哇哇哇我	c=1 d=1.1 t=21906
wa wa wa wo wang wu 	哇哇哇我王五	c=1 d=1 t=21907
wa zi 	袜子	c=1 d=1 t=39312
wai 	外	c=2 d=0.1 t=70161
wai bu 	外部	c=8 d=1 t=74347
wai de 	外的	c=1 d=1 t=34962
wai di 	外地	c=2 d=2.05207 t=16511
wai di ka 	外地卡	c=1 d=1 t=16504
wai gua 	外挂	c=1 d=1 t=75571
wai guan 	外观	c=2 d=1 t=54129
wai jia 	外加	c=3 d=1.1367 t=21384
wai lian jie 	外连接	c=1 d=1 t=44375
wai mai 	外卖	c=6 d=1.14542 t=66504
wai mian 	外面	c=1 d=1 t=40043
wai ren 	外人	c=3 d=1 t=22652
wai she 	外设	c=1 d=1 t=17721
wai xing 	外形	c=1 d=1 t=53535
wan 	万	c=2 d=1.00005 t=70948
wan 	完	c=6 d=1 t=73269
wan 	晚	c=9 d=1 t=36245
wan 	玩	c=31 d=1.00001 t=77925
wan an 	晚安	c=10 d=0.985112 t=17463
wan an wen 	晚安吻	c=1 d=6.32036e-15 t=17463
wan ba 	玩吧	c=1 d=1 t=49476
wan ban 	晚班	c=1 d=1 t=33203
wan bi 	完毕	c=2 d=1 t=69717
wan bu liao 	玩不了	c=1 d=3.44424e-20 t=17463
wan cheng 	完成	c=37 d=1.65372 t=78702
wan cheng le 	完成了	c=2 d=1.00883 t=59178
wan dao 	玩到	c=1 d=3.49629e-20 t=17463
wan de 	玩的	c=2 d=1 t=49416
wan dian 	晚点	c=0 d=0.1 t=23120
wan dian dao 	晚点道	c=1 d=1 t=23121
wan er 	玩儿	c=0 d=9.29482e-24 t=17463
wan jia 	玩家	c=3 d=1.09209 t=70417
wan jian 	晚间	c=1 d=1 t=70415
wan jin you 	万金油	c=1 d=1 t=68968
wan ju 	玩具	c=1 d=6.02665e-14 t=17463
wan lai 	晚来	c=1 d=1 t=41456
wan le 	完了	c=3 d=1 t=41281
wan le 	晚了	c=1 d=2.27437e-20 t=17463
wan liao 	完了	c=2 d=0.1 t=25411
wan mei 	完美	c=2 d=1 t=20686
wan nian li 	万年历	c=1 d=1 t=17593
wan ou 	玩偶	c=0 d=0.1 t=20370
wan qi lai 	玩起来	c=1 d=1.60495e-07 t=17463
wan quan 	完全	c=5 d=1 t=69831
wan sha 	玩啥	c=2 d=1 t=75232
wan shang 	晚上	c=48 d=1.5427 t=78394
wan wan 	玩玩	c=4 d=1.00024 t=37960
wan yi 	万一	c=2 d=1 t=27517
wan yi 	玩意	c=5 d=1 t=49086
wan yi ba 	玩一把	c=1 d=4.4255e-28 t=17463
wan yi hui 	万一会	c=1 d=1 t=18045
wan you xi 	玩游戏	c=2 d=1 t=37366
wan yuan 	万元	c=11 d=1.99308 t=37343
wan zhe 	玩着	c=1 d=1 t=24462
wan zheng 	完整	c=4 d=1 t=51767
wan zi xi 	晚自习	c=4 d=1.93707 t=47776
wang 	亡	c=3 d=1 t=65786
wang 	往	c=3 d=1 t=79157
wang 	王	c=10 d=0.1 t=54071
wang 	网	c=8 d=1 t=46589
wang ba 	网吧	c=5 d=1 t=39202
wang dian 	网点	c=1 d=1 t=16903
wang dong 	王东	c=1 d=1 t=22890
wang fei 	网费	c=3 d=1.92213e-11 t=17463
wang ji 	忘记	c=7 d=1.00123 t=49231
wang ji le 	忘记了	c=3 d=1 t=48010
wang ka 	网卡	c=2 d=0.100642 t=45566
wang kou 	网口	c=1 d=1 t=43553
wang le 	忘了	c=3 d=1 t=27298
wang lei 	王蕾	c=1 d=1 t=37396
wang li 	往里	c=1 d=1 t=69453
wang long 	王龙	c=3 d=1.98511 t=34890
wang luo 	网络	c=31 d=1 t=77119
wang ming zhe 	王明哲	c=3 d=1 t=49426
wang pan 	网盘	c=3 d=1.1836 t=22318
wang pang qing 	王旁青	c=1 d=1 t=22970
wang qi e 	王企鹅	c=0 d=2.88311e-23 t=17463
wang qi e qing wei er qing wo er qie wo ren wei quan e 	王企鹅情味儿请我而且我认为全额	c=1 d=9.53012e-23 t=17463
wang qian 	往前	c=1 d=1 t=49673
wang shang 	网上	c=7 d=1.00022 t=79000
wang shang shuo 	网上说	c=1 d=1 t=21320
wang song 	汪嵩	c=1 d=1 t=36471
wang su 	网速	c=7 d=1 t=49327
wang wang wang wang wang 	汪汪汪汪汪	c=0 d=0.114515 t=18869
wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wei wen wen dang dang de dui de dao dan de dui de dao dan de dui de dao dan de dui de dao dan de dui de dao dan de dui de dao dan de dui de dao dan de dui de dao dan de dui de dao dan de dui de dao dan de dui de dao dan de dui de dao dan de dui de dao dan ding ding ding ding di deng dong wu wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang 	汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪为稳稳当当地对地导弹地对地导弹地对地导弹地对地导弹地对地导弹地对地导弹地对地导弹地对地导弹地对地导弹地对地导弹地对地导弹地对地导弹地对地导弹顶顶顶顶低等动物汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪	c=1 d=1 t=18870
wang wu 	王五	c=10 d=1.00303 t=74169
wang wu wang wu 	王五王五	c=1 d=1 t=21905
wang xia 	往下	c=2 d=1.38098 t=54936
wang xing 	王兴	c=21 d=3.78309 t=79826
wang xu guang 	王旭光	c=1 d=8.48471e-09 t=17463
wang ye 	网页	c=5 d=1 t=40903
wang ye ban 	网页版	c=1 d=1 t=39653
wang yi yun 	网易云	c=3 d=1 t=21968
wang yu 	王玉	c=1 d=1 t=79319
wang yue 	望月	c=1 d=1 t=24049
wang yun chuan 	网云穿	c=3 d=1.96562 t=18103
wang zhan 	网站	c=22 d=4.8734 t=79400
wang zhang 	网帐	c=2 d=1 t=79342
wang zhe 	王者	c=1 d=9.13591e-26 t=17463
wang zhi 	网址	c=6 d=1 t=74433
wang zhi zhi 	王治郅	c=0 d=0.1 t=78725
wang zhi zhi ne 	王治郅呢	c=1 d=1 t=78726
wang zhuan 	网赚	c=1 d=0.00137404 t=17463
wang zong 	王总	c=1 d=1 t=38606
wei 	为	c=210 d=1.00576 t=76296
wei 	位	c=46 d=1 t=76091
wei 	味	c=2 d=0.000854495 t=17463
wei 	喂	c=1 d=1 t=78419
wei 	围	c=1 d=1.099 t=21428
wei 	尾	c=1 d=9.17701e-20 t=17463
wei 	未	c=9 d=1.96561 t=74875
wei 	维	c=2 d=0.125556 t=17463
wei bei 	违背	c=1 d=0.1 t=67792
wei bei le 	违背了	c=2 d=1.0084 t=58202
wei bi 	未必	c=1 d=1 t=51061
wei bo lu 	微波炉	c=1 d=1 t=49013
wei bu 	尾部	c=2 d=1 t=70970
wei chu shi hua 	为初始化	c=1 d=2.78653e-27 t=17463
wei ci 	谓词	c=1 d=1 t=18334
wei da shi dai 	伟大时代	c=0 d=0.1 t=21909
wei dao 	味道	c=3 d=1 t=77497
wei deng lu 	未登录	c=2 d=1.8311 t=73015
wei du 	纬度	c=2 d=1.8781 t=69432
wei du 	维度	c=3 d=1 t=61851
wei er gang 	威而刚	c=0 d=0.1 t=24972
wei er gang wa 	威而刚瓦	c=1 d=1 t=24973
wei er qi 	韦尔奇	c=0 d=2.39553e-14 t=17463
wei er qi fa sheng de 	韦尔奇发生的	c=1 d=2.40754e-13 t=17463
wei fan le 	违反了	c=3 d=1 t=61689
wei fu 	为负	c=1 d=1 t=63122
wei fu 	未付	c=1 d=1 t=25689
wei gou xuan 	为勾选	c=2 d=1.00001 t=39625
wei hu 	维护	c=11 d=0.185997 t=63866
wei hu liang 	维护量	c=1 d=1 t=62448
wei hu xing 	维护性	c=2 d=1 t=62409
wei ji bai ke 	维基百科	c=4 d=1 t=44953
wei ji fen 	微积分	c=1 d=1 t=33367
wei ji zhun 	为基准	c=1 d=1 t=42512
wei kong 	为空	c=60 d=1.00001 t=80029
wei le 	为了	c=8 d=1 t=67680
wei le 	萎了	c=1 d=1 t=73230
wei li 	为例	c=1 d=1 t=63775
wei nan 	渭南	c=2 d=0.00585769 t=17463
wei ni 	为你	c=3 d=1 t=70128
wei ruan 	微软	c=9 d=2.43559 t=32048
wei ruan ya hei 	微软雅黑	c=4 d=1 t=78957
wei sha 	为啥	c=48 d=1.70121 t=79087
wei sha ga shi 	为啥伽师	c=1 d=7.60348e-13 t=17463
wei shang cheng 	微商城	c=1 d=1 t=28642
wei shen me 	为什么	c=2 d=1.00192 t=18616
wei shi 	卫视	c=1 d=0.00398587 t=17463
wei shi yong 	未使用	c=3 d=1 t=54577
wei shu 	位数	c=33 d=1 t=63099
wei ta 	为他	c=1 d=1 t=47592
wei tuo 	委托	c=10 d=3.17748 t=69705
wei tuo lei 	委托类	c=1 d=1 t=69686
wei wan 	未完	c=4 d=1.14639 t=40723
wei wan guan li 	未完管理	c=1 d=1 t=40299
wei wan le mei you 	味完了没有	c=1 d=1.88863e-10 t=17463
wei wei 	喂喂	c=0 d=3.47589e-11 t=17463
wei wei de 	微微的	c=0 d=0.1 t=18483
wei wo 	为我	c=1 d=6.43249e-16 t=17463
wei wu 	威武	c=1 d=1 t=19849
wei xi rou 	胃息肉	c=1 d=1 t=50441
wei xia zai 	未下载	c=2 d=1.47473 t=25696
wei xie 	威胁	c=1 d=3.55831e-21 t=17463
wei xin 	微信	c=53 d=1 t=79695
wei xin gei wo 	微信给我	c=1 d=6.46473e-16 t=17463
wei yi 	位移	c=0 d=0.1 t=63085
wei yi 	卫衣	c=2 d=1 t=40239
wei yi 	唯一	c=3 d=0.42628 t=66848
wei yu 	位于	c=1 d=1 t=22177
wei yun suan 	位运算	c=1 d=1 t=63039
wei yun suan fu 	位运算符	c=1 d=1 t=63051
wei zai 	未在	c=1 d=1 t=22176
wei zhang 	违章	c=1 d=1 t=46291
wei zhi 	为止	c=1 d=5.87385e-06 t=17463
wei zhi 	为知	c=3 d=1 t=48025
wei zhi 	位置	c=32 d=1.54064 t=77410
wei zhi 	未知	c=5 d=1 t=72008
wei zhi bi ji 	为知笔记	c=7 d=1.98511 t=78939
wei zhi shang 	位置上	c=1 d=1 t=16137
wei zhu 	为主	c=2 d=1 t=77632
wei zhuang 	伪装	c=1 d=4.97008e-11 t=17463
wei zhun 	为准	c=2 d=1.94176 t=73833
wen 	吻	c=2 d=0.1 t=33562
wen 	文	c=9 d=0.1 t=77610
wen 	问	c=7 d=1 t=77615
wen a jin 	文阿金	c=1 d=1 t=36696
wen an 	文案	c=10 d=2.75305 t=79369
wen ben 	文本	c=5 d=1.02522 t=38839
wen dang 	文档	c=27 d=1.9802 t=74601
wen dang na ge 	文档那个	c=2 d=1.81058 t=59813
wen de 	问的	c=1 d=1 t=20511
wen ding 	稳定	c=5 d=1.91393 t=52904
wen ding ban 	稳定版	c=1 d=3.89275e-19 t=17463
wen ding ban ben 	稳定版本	c=1 d=1 t=21557
wen ding xing 	稳定性	c=1 d=1 t=52983
wen du 	温度	c=4 d=1.61263 t=77449
wen guang 	文广	c=18 d=1 t=45897
wen guang da bao 	文广打包	c=1 d=1 t=25398
wen hao 	问号	c=0 d=0.1 t=30573
wen hao le 	问号了	c=1 d=1 t=30574
wen jian 	文件	c=534 d=1.2144 t=78026
wen jian an 	文件俺	c=1 d=1 t=31480
wen jian de 	文件的	c=2 d=1 t=60868
wen jian jia 	文件夹	c=22 d=1 t=79195
wen jian lu jing 	文件路径	c=1 d=1 t=32613
wen jian ming 	文件名	c=3 d=1 t=49844
wen jian shu xing 	文件属性	c=1 d=1 t=60728
wen jian xuan ze 	文件选择	c=1 d=1 t=31733
wen jian zhong 	文件中	c=2 d=1 t=72955
wen jing 	文静	c=1 d=1 t=16082
wen juan 	问卷	c=20 d=5.43561 t=32071
wen le 	问了	c=2 d=1 t=42048
wen ni 	问你	c=5 d=1 t=46211
wen nuan 	温暖	c=1 d=1 t=17558
wen qing chu 	问清楚	c=0 d=0.1 t=57913
wen quan dan 	温泉蛋	c=1 d=7.83504e-13 t=17463
wen rou 	温柔	c=2 d=1 t=47853
wen shui 	温水	c=1 d=1 t=79818
wen ti 	问题	c=140 d=1.00115 t=79243
wen wen 	问问	c=11 d=1.00687 t=79177
wen wen dang dang 	稳稳当当	c=0 d=0.1 t=18869
wen wo 	问我	c=2 d=1.97045 t=38575
wen xia 	问下	c=6 d=0.635261 t=79792
wen xiang 	蚊香	c=2 d=3.22087e-14 t=17463
wen yan 	文言	c=10 d=1.01825 t=34483
wen yan ku 	文言库	c=2 d=1.9802 t=32469
wen yi 	文艺	c=0 d=0.1 t=41025
wen yi xi an 	文艺西安	c=1 d=1 t=41026
wen yi xia 	问一下	c=1 d=1.03465 t=18295
wen zhe ge 	问这个	c=1 d=2.9512e-26 t=17463
wen zi 	文字	c=15 d=1 t=71524
wo 	我	c=272 d=1.78497 t=79915
wo 	窝	c=1 d=1 t=37814
wo a 	我啊	c=0 d=0.1 t=39979
wo a gan jue 	我啊感觉	c=1 d=1 t=39980
wo an zhuang 	我安装	c=1 d=1 t=19140
wo ba 	我把	c=7 d=0.1 t=78376
wo ba 	我爸	c=2 d=1.75578 t=46297
wo ba wo 	我把我	c=1 d=1 t=78377
wo bai du 	我百度	c=1 d=1 t=77754
wo bang ni 	我帮你	c=2 d=4.80077e-15 t=17463
wo bei 	我被	c=1 d=1 t=70603
wo ben lai 	我本来	c=1 d=1 t=20924
wo bi jiao 	我比较	c=1 d=1 t=24451
wo bing mei 	我并没	c=1 d=7.82413e-26 t=17463
wo bu 	我不	c=6 d=1 t=38005
wo bu chi 	我不吃	c=2 d=1 t=21625
wo bu cun zai 	我不存在	c=1 d=1 t=18996
wo bu hui 	我不会	c=2 d=5.83344e-13 t=17463
wo bu hui jia 	我不回家	c=1 d=1 t=78332
wo bu hui jie yi 	我不会介意	c=1 d=5.94198e-24 t=17463
wo bu jie le 	我不借了	c=1 d=8.0918e-10 t=17463
wo bu jie yi 	我不介意	c=1 d=1 t=15228
wo bu kai xin 	我不开心	c=1 d=1 t=26544
wo bu neng 	我不能	c=1 d=5.27831e-13 t=17463
wo bu pa 	我不怕	c=2 d=1 t=77975
wo bu qing chu 	我不清楚	c=3 d=1 t=79086
wo bu qu 	我不去	c=2 d=1 t=79122
wo bu que 	我不缺	c=0 d=6.77864e-16 t=17463
wo bu que ding 	我不缺定	c=1 d=6.81262e-15 t=17463
wo bu shang ban le 	我不上班了	c=1 d=1 t=17456
wo bu shi 	我不是	c=9 d=1 t=78079
wo bu tai 	我不太	c=1 d=7.41701e-15 t=17463
wo bu tai hui 	我不太会	c=1 d=1 t=16414
wo bu tui jian 	我不推荐	c=1 d=2.87687e-20 t=17463
wo bu wan 	我不玩	c=1 d=1 t=18054
wo bu xi huan 	我不喜欢	c=3 d=1 t=47743
wo bu xiang 	我不想	c=3 d=1 t=45728
wo bu xin 	我不信	c=2 d=1 t=37424
wo bu xu yao 	我不需要	c=1 d=1 t=56044
wo bu yao 	我不要	c=2 d=1 t=47840
wo bu yong 	我不用	c=1 d=0.0277367 t=17463
wo bu zhi dao 	我不知道	c=15 d=1 t=79376
wo ca 	我擦	c=1 d=4.74315e-20 t=17463
wo cai 	我才	c=1 d=2.3505e-25 t=17463
wo cai 	我猜	c=1 d=1 t=33169
wo can kao 	我参考	c=1 d=1 t=41715
wo cao 	卧槽	c=14 d=1 t=77445
wo ce shi 	我测试	c=1 d=1 t=39687
wo cha bu dao 	我查不到	c=1 d=1 t=39902
wo cha le 	我查了	c=1 d=1 t=46556
wo chai 	我拆	c=1 d=4.50238e-05 t=17463
wo chai de 	我拆的	c=1 d=4.17004e-05 t=17463
wo cheng gong 	我成功	c=1 d=1 t=19866
wo chi 	我吃	c=1 d=1.72221e-13 t=17463
wo chi le 	我吃了	c=1 d=1.39381e-24 t=17463
wo chong qi 	我重启	c=1 d=1 t=77883
wo chuan 	我穿	c=1 d=1 t=22371
wo cui si ni 	我翠丝你	c=1 d=1 t=16566
wo cun zai 	我存在	c=1 d=1 t=18999
wo da 	我打	c=1 d=3.40764e-12 t=17463
wo da jian 	我搭建	c=1 d=1.87595e-19 t=17463
wo da ni 	我打你	c=1 d=0.000156885 t=17463
wo da suan 	我打算	c=1 d=1 t=79785
wo da you xi 	我打游戏	c=1 d=3.50057e-05 t=17463
wo dai 	我带	c=0 d=0.1 t=76619
wo dai ge 	我带个	c=1 d=1 t=76620
wo dang ran 	我当然	c=1 d=1 t=50753
wo dang shi 	我当时	c=5 d=1.00001 t=79885
wo dang shi fang wen fa 	我当时访问法	c=1 d=1 t=18334
wo dao 	我倒	c=0 d=0.1 t=79671
wo dao shi hou 	我倒时候	c=1 d=1 t=79672
wo de 	我的	c=84 d=1.31257 t=78893
wo de guo 	我的锅	c=1 d=1 t=52038
wo de li you 	我的理由	c=1 d=0.064894 t=17463
wo de ne 	我的呢	c=2 d=1.00229 t=23990
wo de pie yong hu 	我的撇用户	c=1 d=1 t=72806
wo de tian 	我的天	c=2 d=3.8399e-27 t=17463
wo deng 	我等	c=0 d=1.80552e-11 t=17463
wo deng hui 	我等会	c=2 d=1 t=20536
wo deng lu 	我登录	c=1 d=1 t=19936
wo deng ni 	我等你	c=1 d=3.58663e-26 t=17463
wo dian nao 	我电脑	c=2 d=1 t=40951
wo dong xi 	我东西	c=1 d=1.33802e-14 t=17463
wo dou 	我都	c=27 d=1.00001 t=78150
wo dou ba 	我都把	c=1 d=1 t=18299
wo dou bu zhi dao 	我都不知道	c=1 d=0.000223746 t=17463
wo dou ke yi 	我都可以	c=1 d=1 t=76303
wo dou kuai 	我都快	c=1 d=1 t=23765
wo dou shi 	我都是	c=2 d=1.00035 t=24297
wo dou xiang 	我都想	c=1 d=1 t=39760
wo dou yao 	我都要	c=1 d=1 t=50583
wo dou yi 	我都已	c=1 d=1 t=16355
wo du zi zhong de 	我肚子中的	c=1 d=1 t=19946
wo dui ni 	我对你	c=1 d=1 t=33768
wo e 	我饿	c=0 d=0.1 t=31432
wo e le 	我饿了	c=1 d=5.08101e-06 t=17463
wo e mi you 	我饿密友	c=1 d=1 t=31433
wo ei jiu 	我诶就	c=1 d=1 t=15130
wo er fu 	沃尔夫	c=0 d=2.31196e-08 t=17463
wo er ji feng la shi 	我二级风啦是	c=1 d=1 t=47174
wo er ma 	沃尔玛	c=0 d=0.1 t=66141
wo er ma ne 	沃尔玛呢	c=1 d=1 t=66142
wo er zi 	我儿子	c=0 d=0.1 t=78937
wo er zi hao 	我儿子号	c=1 d=1 t=78938
wo fa 	我发	c=0 d=1.39671e-20 t=17463
wo fa ni 	我发你	c=3 d=1 t=26390
wo fa xian 	我发现	c=1 d=1 t=25586
wo fang 	我方	c=1 d=1.76214e-18 t=17463
wo fang jian 	我房间	c=1 d=1 t=26537
wo fang le 	我放了	c=1 d=1 t=34157
wo fen qi 	我分期	c=2 d=1.27306e-09 t=17463
wo fu ze 	我负责	c=2 d=0.0619153 t=17463
wo gan cai 	我干菜	c=1 d=1 t=40935
wo gan huo 	我干活	c=1 d=9.61117e-05 t=17463
wo gan jue 	我感觉	c=8 d=1 t=77677
wo gan mao 	我感冒	c=1 d=0.121238 t=17463
wo gan mao le 	我感冒了	c=1 d=0.0263839 t=17463
wo gang 	我刚	c=4 d=1 t=47369
wo gang chu qu 	我刚出去	c=1 d=0.594521 t=17463
wo gang hao 	我刚好	c=1 d=1 t=39178
wo gei 	我给	c=4 d=1 t=78880
wo gei ma 	我给妈	c=1 d=1.31855e-18 t=17463
wo gei ni 	我给你	c=26 d=1 t=74782
wo gei zan 	我给咱	c=1 d=1 t=49040
wo gen 	我跟	c=4 d=1 t=27456
wo gong zi 	我工资	c=1 d=1.22519e-07 t=17463
wo guan bi 	我关闭	c=2 d=1 t=34221
wo gun 	我滚	c=2 d=1 t=35926
wo guo ji tian 	我过几天	c=1 d=1 t=49457
wo guo qu 	我过去	c=3 d=1 t=37749
wo guo qu le 	我过去了	c=1 d=0.00121259 t=17463
wo hao 	我好	c=0 d=0.1 t=47155
wo hao hao 	我好好	c=1 d=1.19368e-24 t=17463
wo hao le 	我好了	c=1 d=1 t=47184
wo hao qi 	我好奇	c=1 d=1 t=18932
wo hao xi huan 	我好喜欢	c=1 d=1 t=28216
wo hao xiang 	我好想	c=2 d=1.33287 t=18560
wo hao yong ma 	我好用吗	c=1 d=1 t=47156
wo he wo de zu guo 	我和我的祖国	c=1 d=8.89973e-12 t=17463
wo hen 	我很	c=1 d=1 t=33421
wo hen xi huan 	我很喜欢	c=1 d=2.86057e-12 t=17463
wo hou tian 	我后天	c=1 d=0.0284388 t=17463
wo huai yi 	我怀疑	c=1 d=1 t=41441
wo huan 	我换	c=15 d=1 t=77362
wo huan 	我还	c=3 d=0.1 t=39310
wo huan ba 	我还把	c=1 d=1 t=39311
wo huan le 	我换了	c=1 d=1 t=49204
wo huan mei 	我换没	c=2 d=1 t=44976
wo huan mei you 	我换没有	c=2 d=1.88692 t=23823
wo huan neng 	我还能	c=1 d=1 t=28199
wo huan shi 	我还是	c=6 d=1 t=77018
wo huan yao 	我还要	c=6 d=1.72615 t=46437
wo huan yao bu yao 	我还要不要	c=1 d=1 t=38658
wo huan yi 	我换以	c=1 d=0.1 t=26899
wo huan yi wei 	我换以为	c=2 d=1 t=35050
wo huan yi wei 	我换衣为	c=1 d=1 t=15367
wo huan you 	我还有	c=2 d=1 t=75962
wo huan you dian 	我换有点	c=1 d=1 t=65354
wo huan zai 	我换在	c=3 d=1 t=29304
wo huan zai 	我还在	c=3 d=1 t=41184
wo hui 	我会	c=6 d=1 t=48894
wo hui jia 	我回家	c=1 d=1 t=75933
wo hui qu 	我回去	c=3 d=0.1 t=23850
wo hui qu le 	我回去了	c=2 d=1 t=41991
wo hui qu ya 	我回去鸭	c=1 d=1 t=23851
wo hui tui 	我回退	c=1 d=1 t=20525
wo hui xin teng 	我会心疼	c=1 d=1 t=28256
wo ji de 	我记得	c=6 d=1 t=40793
wo ji lu 	我记录	c=1 d=1 t=74954
wo jia 	我家	c=2 d=0.1 t=78201
wo jia de 	我加的	c=1 d=1 t=18290
wo jia hao le 	我家好了	c=1 d=1 t=78202
wo jia li 	我家里	c=1 d=2.2106e-09 t=17463
wo jian shen dao lu shang 	我健身道路上	c=1 d=2.64064e-12 t=17463
wo jiao ni 	我教你	c=1 d=1 t=39239
wo jin lai le 	我进来了	c=4 d=1.09442 t=74653
wo jin tian 	我今天	c=8 d=1.00003 t=77485
wo jin wan 	我今晚	c=3 d=1 t=21239
wo jiu 	我就	c=23 d=1.00941 t=79328
wo jiu bu 	我就不	c=0 d=2.41e-26 t=17463
wo jiu bu mai le 	我就不买了	c=1 d=2.42208e-25 t=17463
wo jiu gan jue 	我就感觉	c=1 d=1 t=15233
wo jiu guo qu 	我就过去	c=1 d=0.0523397 t=17463
wo jiu hui qu 	我就回去	c=1 d=1 t=38640
wo jiu mai 	我就买	c=1 d=1 t=77502
wo jiu neng 	我就能	c=1 d=1 t=58439
wo jiu qu 	我就去	c=4 d=1.05502 t=51088
wo jiu shi 	我就是	c=8 d=1 t=77078
wo jiu shi zhe me 	我就是这么	c=1 d=0.280832 t=17463
wo jiu shui 	我就睡	c=1 d=6.45133e-21 t=17463
wo jiu shuo 	我就说	c=3 d=1 t=27055
wo jiu xi huan 	我就喜欢	c=1 d=2.50622e-15 t=17463
wo jiu yao 	我就要	c=2 d=1 t=40642
wo jiu zai 	我就在	c=2 d=1 t=75063
wo jiu zhi jie 	我就直接	c=2 d=0.00379148 t=17463
wo ju jue 	我拒绝	c=2 d=1 t=47417
wo ju ran 	我居然	c=1 d=1 t=49123
wo ju ren 	我巨人	c=1 d=1 t=47178
wo jue 	我绝	c=1 d=1.22498e-05 t=17463
wo jue de 	我觉得	c=16 d=1 t=77513
wo jue de wo you xing le 	我觉得我又行了	c=1 d=5.41931e-29 t=17463
wo ka 	沃卡	c=0 d=0.1 t=15128
wo ka ji dian si kao jiu 	沃卡几点思考就	c=1 d=1 t=15129
wo ka qi lai le 	我卡其来了	c=1 d=1 t=47206
wo kai fang 	我开放	c=1 d=3.04688e-19 t=17463
wo kan 	我看	c=13 d=1 t=53074
wo kan dao le 	我看到了	c=1 d=1 t=74817
wo kan hao 	我看好	c=1 d=1 t=47333
wo kan hui 	我看会	c=2 d=6.2825e-13 t=17463
wo kan kan 	我看看	c=8 d=1.00391 t=47962
wo kan kan na 	我看看那	c=1 d=1.213e-07 t=17463
wo kan le 	我看了	c=5 d=1.00165 t=37600
wo kan ni 	我看你	c=4 d=1 t=39380
wo kan wo 	我看我	c=1 d=5.37287e-16 t=17463
wo kao lv 	我考虑	c=1 d=1.21049e-12 t=17463
wo ke neng 	我可能	c=4 d=1 t=40251
wo ke yi 	我可以	c=18 d=0.1 t=72807
wo ke yi de 	我可以的	c=1 d=1 t=54066
wo ke yi de me 	我可以的么	c=1 d=1 t=47192
wo ke yi le 	我可以了	c=4 d=0.1 t=72802
wo ke yi le me 	我可以了么	c=1 d=1 t=72803
wo ke yi shi yong 	我可以使用	c=1 d=1 t=19090
wo kuai 	我快	c=1 d=1 t=26249
wo la 	我啦	c=3 d=1 t=47068
wo lai 	我来	c=7 d=1.01743 t=79857
wo lao 	我老	c=1 d=1 t=18186
wo le 	我了	c=1 d=1 t=47325
wo lian 	我连	c=1 d=1.4306e-07 t=17463
wo mai 	我买	c=2 d=1 t=37994
wo mai de 	我买的	c=5 d=1 t=78977
wo mai ge 	我买咯	c=1 d=1 t=77765
wo mai le 	我买了	c=4 d=1 t=46024
wo mai yi fu 	我买衣服	c=1 d=2.60806e-13 t=17463
wo man 	我慢	c=2 d=2.34284e-21 t=17463
wo man man 	我慢慢	c=1 d=1 t=44972
wo man zu li 	我慢阻力	c=1 d=2.54583e-23 t=17463
wo mang 	我忙	c=1 d=1.20987e-06 t=17463
wo mang zhe 	我忙着	c=1 d=1 t=35235
wo me 	我么	c=1 d=1 t=28126
wo mei 	我没	c=1 d=3.29212e-18 t=17463
wo mei you 	我没有	c=18 d=0.1 t=73237
wo mei you a 	我没有啊	c=1 d=1 t=73238
wo mei you ji cuo 	我没有记错	c=1 d=1 t=23333
wo mei you kai 	我没有开	c=1 d=2.53839e-18 t=17463
wo mei you shan 	我没有删	c=1 d=1 t=28134
wo men 	我们	c=105 d=2.36841 t=79402
wo men neng 	我们能	c=1 d=1 t=48053
wo men zen me 	我们怎么	c=1 d=1 t=46787
wo ming tian 	我明天	c=5 d=1 t=44802
wo mu qian 	我目前	c=2 d=1 t=24688
